child	father	mother	sex
HG00405	HG00403	HG00404	F
HG00408	HG00406	HG00407	F
HG00420	HG00418	HG00419	M
HG00423	HG00421	HG00422	F
HG00429	HG00427	HG00428	M
HG00438	HG00436	HG00437	F
HG00444	HG00442	HG00443	M
HG00447	HG00445	HG00446	F
HG00450	HG00448	HG00449	F
HG00453	HG00451	HG00452	F
HG00459	HG00457	HG00458	M
HG00465	HG00463	HG00464	M
HG00474	HG00472	HG00473	M
HG00477	HG00475	HG00476	M
HG00480	HG00478	HG00479	M
HG00502	HG00500	HG00501	M
HG00514	HG00512	HG00513	F
HG00526	HG00524	HG00525	M
HG00532	HG00530	HG00531	M
HG00535	HG00533	HG00534	M
HG00538	HG00536	HG00537	M
HG00544	HG00542	HG00543	F
HG00552	HG01075	HG00551	M
HG00555	HG00553	HG00554	F
HG00558	HG00556	HG00557	F
HG00561	HG00559	HG00560	F
HG00567	HG00565	HG00566	M
HG00579	HG00577	HG00578	F
HG00582	HG00580	HG00581	F
HG00585	HG00583	HG00584	F
HG00591	HG00589	HG00590	M
HG00594	HG00592	HG00593	M
HG00597	HG00595	HG00596	F
HG00609	HG00607	HG00608	M
HG00612	HG00610	HG00611	F
HG00615	HG00613	HG00614	F
HG00621	HG00619	HG00620	M
HG00627	HG00625	HG00626	M
HG00630	HG00628	HG00629	M
HG00636	HG00634	HG00635	M
HG00639	HG00637	HG00638	F
HG00642	HG00640	HG00641	M
HG00652	HG00650	HG00651	F
HG00655	HG00653	HG00654	F
HG00664	HG00662	HG00663	M
HG00673	HG00671	HG00672	M
HG00685	HG00683	HG00684	M
HG00691	HG00689	HG00690	M
HG00694	HG00692	HG00693	M
HG00700	HG00698	HG00699	F
HG00703	HG00701	HG00702	M
HG00706	HG00704	HG00705	M
HG00709	HG00707	HG00708	M
HG00733	HG00731	HG00732	F
HG00735	HG01047	HG00734	F
HG00738	HG00736	HG00737	M
HG00741	HG00739	HG00740	F
HG01050	HG01048	HG01049	F
HG01053	HG01051	HG01052	F
HG01056	HG01054	HG01055	M
HG01062	HG01060	HG01061	F
HG01068	HG01066	HG01067	F
HG01071	HG01069	HG01070	F
HG01074	HG01072	HG01073	M
HG01081	HG01079	HG01080	F
HG01084	HG01082	HG01083	F
HG01087	HG01085	HG01086	F
HG01096	HG01094	HG01095	M
HG01099	HG01097	HG01098	M
HG01100	HG01247	HG01248	F
HG01103	HG01101	HG01102	F
HG01106	HG01104	HG01105	M
HG01109	HG01107	HG01108	M
HG01114	HG01112	HG01113	F
HG01126	HG01124	HG01125	M
HG01135	HG01133	HG01134	M
HG01138	HG01136	HG01137	M
HG01141	HG01139	HG01140	F
HG01150	HG01148	HG01149	F
HG01169	HG01167	HG01168	F
HG01172	HG01170	HG01171	M
HG01175	HG01173	HG01174	F
HG01178	HG01176	HG01177	M
HG01184	HG01182	HG01183	F
HG01189	HG01187	HG01188	M
HG01192	HG01190	HG01191	M
HG01199	HG01197	HG01198	M
HG01206	HG01204	HG01205	M
HG01243	HG01241	HG01242	M
HG01249	HG01110	HG01111	F
HG01252	HG01250	HG01251	M
HG01255	HG01253	HG01254	M
HG01258	HG01256	HG01257	M
HG01261	HG01259	HG01260	M
HG01273	HG01271	HG01272	M
HG01276	HG01274	HG01275	F
HG01279	HG01277	HG01278	F
HG01343	HG01341	HG01342	F
HG01346	HG01344	HG01345	F
HG01349	HG01347	HG01348	F
HG01352	HG01350	HG01351	F
HG01355	HG01353	HG01354	F
HG01358	HG01356	HG01357	M
HG01361	HG01359	HG01360	F
HG01367	HG01365	HG01366	F
HG01376	HG01374	HG01375	F
HG01379	HG01377	HG01378	F
HG01385	HG01383	HG01384	F
HG01391	HG01389	HG01390	F
HG01433	HG01431	HG01432	M
HG01439	HG01437	HG01438	F
HG01457	HG01455	HG01456	M
HG01463	HG01461	HG01462	F
HG01466	HG01464	HG01465	F
HG01490	HG01488	HG01489	F
HG01493	HG01491	HG01492	F
HG01496	HG01494	HG01495	F
HG01499	HG01497	HG01498	M
HG01502	HG01500	HG01501	M
HG01505	HG01503	HG01504	M
HG01508	HG01506	HG01507	M
HG01511	HG01509	HG01510	F
HG01514	HG01512	HG01513	F
HG01517	HG01515	HG01516	F
HG01520	HG01518	HG01519	F
HG01523	HG01521	HG01522	M
